city,lat,lng,max temp,humidity,cloudiness,windspeed,country,date,name,max temp F
bafang,5.1563,10.1788,291.84,55.0,4.0,0.69,CM,1644356345,Bafang,65.642
prince rupert,54.3161,-130.3201,278.2,93.0,100.0,18.52,CA,1644356345,Prince Rupert,41.09000000000002
bubaque,11.2833,-15.8333,298.82,72.0,2.0,5.53,GW,1644356346,Bubaque,78.20600000000003
bluff,-46.6,168.3333,288.04,85.0,94.0,4.56,NZ,1644356346,Bluff,58.80200000000008
ketchikan,55.3422,-131.6461,279.41,87.0,100.0,6.17,US,1644356346,Ketchikan,43.268000000000086
tacna,-18.0056,-70.2483,294.26,60.0,0.0,5.14,PE,1644356347,Tacna,69.99800000000002
busselton,-33.65,115.3333,284.87,85.0,2.0,2.83,AU,1644356347,Busselton,53.096000000000046
butaritari,3.0707,172.7902,300.84,77.0,72.0,6.22,KI,1644356347,Butaritari,81.842
gat,31.61,34.7642,286.7,49.0,62.0,3.25,IL,1644356348,Kiryat Gat,56.39000000000002
smirnykh,49.75,142.8333,261.03,88.0,100.0,2.95,RU,1644356348,Smirnykh,10.18399999999999
inhambane,-23.865,35.3833,295.88,89.0,0.0,2.51,MZ,1644356348,Inhambane,72.91400000000003
aklavik,68.2191,-135.0107,236.61,67.0,20.0,1.54,CA,1644356349,Aklavik,-33.771999999999935
vila velha,-20.3297,-40.2925,300.12,84.0,20.0,7.2,BR,1644356323,Vila Velha,80.54600000000005
hualmay,-11.0964,-77.6139,296.2,72.0,28.0,3.92,PE,1644356349,Hualmay,73.49000000000002
rikitea,-23.1203,-134.9692,299.21,71.0,77.0,5.38,PF,1644356350,Rikitea,78.908
yarkovo,57.4028,67.0786,259.54,95.0,28.0,2.91,RU,1644356350,Yarkovo,7.502000000000077
melo,-32.3667,-54.1833,296.0,46.0,1.0,4.57,UY,1644356350,Melo,73.13000000000004
castro,-24.7911,-50.0119,292.44,84.0,71.0,2.35,BR,1644356351,Castro,66.72200000000004
mataura,-46.1927,168.8643,287.86,83.0,100.0,1.35,NZ,1644356351,Mataura,58.478000000000065
avarua,-21.2078,-159.775,300.18,78.0,40.0,6.17,CK,1644356073,Avarua,80.65400000000005
eureka,40.8021,-124.1637,287.55,72.0,0.0,1.34,US,1644356351,Eureka,57.92000000000006
cottage grove,44.8277,-92.9438,278.38,68.0,0.0,3.6,US,1644356352,Cottage Grove,41.41400000000003
bredasdorp,-34.5322,20.0403,291.08,82.0,36.0,2.06,ZA,1644356352,Bredasdorp,64.27400000000002
ushuaia,-54.8,-68.3,284.96,54.0,40.0,7.72,AR,1644356352,Ushuaia,53.258
nemuro,43.3236,145.575,268.52,65.0,78.0,6.82,JP,1644356353,Nemuro,23.666000000000007
coachella,33.6803,-116.1739,301.75,8.0,0.0,3.6,US,1644356295,Coachella,83.48000000000005
callaway,30.153,-85.5699,287.59,49.0,40.0,3.6,US,1644356353,Callaway,57.992
poum,-20.2333,164.0167,300.81,86.0,100.0,12.2,NC,1644356354,Poum,81.78800000000004
kaitangata,-46.2817,169.8464,287.98,85.0,100.0,4.15,NZ,1644356354,Kaitangata,58.694000000000074
dikson,73.5069,80.5464,256.15,95.0,100.0,9.68,RU,1644356355,Dikson,1.3999999999999986
handan,36.6006,114.4678,274.76,60.0,99.0,2.2,CN,1644356355,Handan,34.898000000000025
porto santo,33.072,-16.3415,293.1,77.0,20.0,4.63,PT,1644356355,Porto Santo,67.91000000000008
yellowknife,62.456,-114.3525,248.94,71.0,75.0,1.54,CA,1644356091,Yellowknife,-11.57799999999996
atuona,-9.8,-139.0333,299.05,77.0,20.0,7.14,PF,1644356356,Atuona,78.62000000000006
albany,42.6001,-73.9662,275.39,64.0,48.0,3.58,US,1644356151,Albany,36.03200000000002
salalah,17.0151,54.0924,295.2,17.0,0.0,5.66,OM,1644356356,Salalah,71.69000000000003
tasiilaq,65.6145,-37.6368,267.24,80.0,99.0,3.72,GL,1644356357,Tasiilaq,21.36200000000006
te anau,-45.4167,167.7167,290.81,70.0,91.0,0.42,NZ,1644356269,Te Anau,63.788000000000046
